taxonomy_id	name
296	Pseudomonas fragi
48296	Acinetobacter pittii
470	Acinetobacter baumannii
40216	Acinetobacter radioresistens
1463165	Klebsiella quasipneumoniae
1134687	Klebsiella michiganensis
28901	Salmonella enterica
562	Escherichia coli
41202	Ewingella americana
587	Providencia rettgeri
546367	Hafnia paralvei
727	Haemophilus influenzae
666	Vibrio cholerae
115808	Bradyrhizobium sp. ORS 285
2782641	Bradyrhizobium sp. 170
114615	Bradyrhizobium sp. ORS 278
2898149	Bradyrhizobium sp. A19
1521768	Bradyrhizobium sp. WD16
1325114	Bradyrhizobium sp. CCBAU 53351
44255	Bradyrhizobium oligotrophicum
29448	Bradyrhizobium elkanii
1549949	Bradyrhizobium vignae
858423	Bradyrhizobium arachidis
375	Bradyrhizobium japonicum
1325107	Bradyrhizobium zhanjiangense
1274631	Bradyrhizobium icense
1404411	Bradyrhizobium septentrionale
1325095	Bradyrhizobium guangzhouense
40137	Afipia carboxidovorans
475937	Rhodopseudomonas boonkerdii
912	Nitrobacter hamburgensis
913	Nitrobacter winogradskyi
1404741	Tardiphaga sp. 37S4
2483404	Mesorhizobium sp. NZP2077
555317	Phyllobacterium sp. T1293
31998	Methylobacterium radiotolerans
334852	Methylobacterium oryzae
374432	Methylobacterium tardum
648995	Rhizobium pusense
1961362	Sphingomonas sp. NIC1
2759526	Sphingomonas aliaeris
13689	Sphingomonas paucimobilis
120107	Sphingobium cloacae
164608	Novosphingobium sp. KA1
158500	Novosphingobium resinovorum
2760307	Paracoccus sp. MC1862
1945662	Paracoccus contaminans
2579977	Brevundimonas sp. SGAir0440
1325724	Brevundimonas vancanneytii
284016	Phenylobacterium zucineum
2774875	Variovorax sp. 38R
436515	Variovorax boronicumulans
2792224	Diaphorobacter sp. JS3051
2866628	Diaphorobacter sp. MNS-0
285	Comamonas testosteroni
553814	Acidovorax carolinensis
105219	Ralstonia mannitolilytica
95486	Burkholderia cenocepacia
292	Burkholderia cepacia
511	Alcaligenes faecalis
123899	Bordetella trematum
28068	Rubrivivax gelatinosus
490	Neisseria sicca
1736306	Aeromicrobium sp. Leaf245
1544730	Kribbella qitaiheensis
2856555	Micrococcus sp. KD337-16
1049583	Kocuria indica
2719588	Kocuria sp. KD4
2895818	Arthrobacter sp. QL17
2079227	Arthrobacter sp. PGP41
37921	Arthrobacter agilis
656366	Arthrobacter alpinus
33918	Microbacterium liquefaciens
104336	Microbacterium foliorum
1703	Brevibacterium linens
1496080	Brevibacterium pigmentatum
556288	Brachybacterium saurashtrense
1667168	Dermabacter jinjuensis
53458	Janibacter limosus
1288636	Ornithinimicrobium flavum
1078471	Serinicoccus profundi
2823898	Corynebacterium sp. CCUG 38989
702967	Corynebacterium sp. NML98-0116
38289	Corynebacterium jeikeium
575200	Corynebacterium maris
38290	Corynebacterium macginleyi
38301	Corynebacterium minutissimum
152794	Corynebacterium efficiens
43770	Corynebacterium striatum
