taxonomy_id	name
203535	Pseudozyma thailandica
2866588	Pseudoclavibacter sp. Marseille-Q3772
1804990	Microcella flavibacter
2792979	Gardnerella swidsinskii
2884263	Aquihabitans sp. Kera 3
2830667	Sphingopyxis sp. USTB-05
61645	Enterobacter asburiae
553	Pantoea ananatis
2728020	Massilia forsythiae
76777	Malassezia sympodialis
396015	Rothia terrae
29384	Staphylococcus kloosii
1817405	Abyssicoccus albus
1428	Bacillus thuringiensis
2853227	Calothrix sp. PCC 7716
1715691	Cognatishimia activa
379684	Rhizobium pseudoryzae
1812935	Enterobacter roggenkampii
885040	Enterobacter soli
546	Citrobacter freundii
2886821	Pantoea sp. Z09
28108	Alteromonas macleodii
29495	Vibrio navarrensis
676	Vibrio fluvialis
2518989	Aequoribacter fuscus
2714923	Acidovorax sp. HDW3
2738413	Acidovorax sp. YS12
87883	Burkholderia multivorans
28095	Burkholderia gladioli
2732163	Limnobacter sp. SAORIC-580
511	Alcaligenes faecalis
85643	Thauera sp. MZ1T
1080223	Malaciobacter pacificus
247	Empedobacter brevis
2895947	Flavobacterium cyclinae
2898794	Spirosoma sp. RHs26
766056	Microcyclospora tardicrescens
147573	Piedraia hortae
2591463	Brevundimonas sp. M20
78327	Pseudomonas mosselii
2866626	Pseudomonas sp. 2hn
2599595	Pseudomonas eucalypticola
413503	Cronobacter malonaticus
160825	Comamonas koreensis
285	Comamonas testosteroni
180282	Delftia tsuruhatensis
41899	Burkholderia plantarii
2825845	Chryseobacterium sp. PCH239
250	Chryseobacterium gleum
2816357	Flavobacterium endoglycinae
312277	Flavobacterium indicum
33051	Sphingomonas sanguinis
2060726	Neorhizobium sp. SOG26
33934	Anoxybacillus flavithermus
566460	Alternaria viburni
1347418	Cercospora brassicicola
5162	Ophiostoma fasciatum
1543685	Colletotrichum gigasporum
1095194	Colletotrichum karsti
57460	Phyllactinia moricola
74329	Brevundimonas mediterranea
1702325	Chelatococcus sp. CO-6
182337	Erwinia billingiae
1775880	Glutamicibacter mishrai
2665642	Allosaccharopolyspora coralli
2065379	Paracoccus jeotgali
2800818	Brevundimonas vitisensis
2770322	Stenotrophomonas sp. 169
46124	Granulicatella adiacens
2751170	Synechococcus sp. LTW-R
221341	Synechococcus sp. Minos11
1442551	Synechococcus sp. BMK-MC-1
121618	Neofusicoccum laricinum
2895796	Paracoccus sp. MA
2675378	Erwinia sp. E602
34	Myxococcus xanthus
1725411	Streptomyces sp. CdTB01
29570	Halomonas meridiana
1141883	Massilia putida
2842456	Ralstonia sp. 56D2
496	Neisseria macacae
2035	Curtobacterium flaccumfaciens
141349	Mycobacterium lentiflavum
1795032	Mycobacterium virginiense
61015	Staphylococcus succinus
2039166	Chryseobacterium sp. 6424
332229	Hanseniaspora pseudoguilliermondii
211096	Hanseniaspora opuntiae
211097	Hanseniaspora meyeri
273372	Candida metapsilosis
1758689	Serinicoccus hydrothermalis
187491	Corynebacterium glaucum
2045	Pimelobacter simplex
1313	Streptococcus pneumoniae
1294143	Pseudomonas sp. ATCC 13867
2745490	Pseudomonas xantholysinigenes
292	Burkholderia cepacia
1019	Capnocytophaga sputigena
1063	Cereibacter sphaeroides
2571749	Novosphingobium sp. EMRT-2
1636603	Acinetobacter sp. ACNIH1
95486	Burkholderia cenocepacia
484	Neisseria flavescens
487	Neisseria meningitidis
35	Corallococcus macrosporus
33914	Saccharopolyspora gregorii
455344	Saccharopolyspora gloriosae
69966	Macrococcus caseolyticus
84135	Gemella sanguinis
2759692	Streptococcus sp. Marseille-Q3533
712623	Streptococcus sp. oral taxon 061
712633	Streptococcus sp. oral taxon 431
2886352	Allocoleopsis franciscana
303698	Penicillium steckii
509241	Mariannaea elegans
5482	Candida tropicalis
37930	Glutamicibacter protophormiae
2697565	Brevibacterium limosum
2003551	Cellulomonas sp. PSBB021
133926	Olsenella uli
70255	Staphylococcus condimenti
489910	Nosocomiicoccus ampullae
293387	Bacillus altitudinis
